'frequency','sig_1.db','sig_1.deg','sig_2.db','sig_2.deg','sig_3.db','sig_3.deg','sig_4.db','sig_4.deg'
229.276931287,0,0,-0.222501259013,-12.9134109909,-0.222447181483,-13.0784908953,108.139123643,-20.8784920977
232.469705999,0,0,-0.228579840418,-13.0870860749,-0.228524246295,-13.2544647989,108.132787773,-21.1630841969
235.7069414,0,0,-0.234820037533,-13.2629300939,-0.234762884285,-13.4326396501,108.126283071,-21.4513897965
238.989256623,0,0,-0.241225905973,-13.4409634264,-0.241167149874,-13.6130362732,108.119605279,-21.7434507835
242.317279424,0,0,-0.247801590166,-13.6212063682,-0.247741186265,-13.795675416,108.112750043,-22.039309262
245.691646298,0,0,-0.254551324604,-13.8036791193,-0.254489226688,-13.9805777369,108.105712916,-22.339007544
249.113002607,0,0,-0.261479435069,-13.9884017699,-0.26141559563,-14.1677637909,108.098489352,-22.6425881396
252.582002696,0,0,-0.268590339837,-14.1753942862,-0.268524710034,-14.3572540152,108.091074706,-22.9500937469
256.099310026,0,0,-0.275888550853,-14.3646764948,-0.275821080474,-14.5490687142,108.083464235,-23.2615672413
259.665597293,0,0,-0.283378674871,-14.556268068,-0.283309312299,-14.7432280446,108.075653091,-23.5770516645
263.281546565,0,0,-0.291065414571,-14.7501885072,-0.29099410674,-14.9397519989,108.067636327,-23.896590213
266.947849403,0,0,-0.298953569627,-14.9464571267,-0.298880261982,-15.1386603893,108.059408891,-24.220226226
270.665207003,0,0,-0.30704803774,-15.1450930361,-0.306972674196,-15.3399728306,108.050965624,-24.5480031729
274.434330323,0,0,-0.315353815625,-15.3461151233,-0.315276338525,-15.5437087223,108.042301264,-24.8799646399
278.255940221,0,0,-0.323875999952,-15.5495420355,-0.323796350021,-15.7498872311,108.033410439,-25.2161543174
282.130767594,0,0,-0.332619788229,-15.7553921612,-0.332537904531,-15.9585272713,108.024287669,-25.5566159849
286.059553518,0,0,-0.341590479638,-15.9636836099,-0.341506299526,-16.1696474865,108.014927366,-25.9013934972
290.043049386,0,0,-0.350793475798,-16.1744341931,-0.35070693487,-16.383266229,108.005323829,-26.2505307691
294.082017059,0,1.27222187259e-014,-0.360234281474,-16.387661403,-0.360145313522,-16.5994015397,107.995471246,-26.60407176
298.177229002,0,0,-0.369918505212,-16.6033823918,-0.36982704217,-16.818071127,107.985363695,-26.9620604577
302.329468441,0,0,-0.379851859899,-16.8216139499,-0.379757831791,-17.0392923454,107.974995137,-27.3245408617
306.539529506,0,0,-0.390040163245,-17.0423724836,-0.389943498135,-17.263082173,107.964359423,-27.6915569668
310.808217387,0,0,-0.400489338182,-17.2656739926,-0.400389962116,-17.4894571893,107.953450287,-28.0631527448
315.136348487,0,0,-0.411205413174,-17.4915340462,-0.411103250122,-17.7184335515,107.942261347,-28.439372127
319.524750576,0,0,-0.42219452243,-17.7199677594,-0.422089494233,-17.9500269707,107.930786108,-28.8202589853
323.974262953,0,0,-0.433462906025,-17.9509897688,-0.433354932329,-18.1842526879,107.919017958,-29.2058571136
328.485736603,0,0,-0.445016909906,-18.1846142071,-0.444905908104,-18.4211254487,107.906950167,-29.5962102079
333.060034362,0,0,-0.456862985795,-18.4208546778,-0.456748870966,-18.6606594778,107.894575891,-29.9913618468
337.698031083,0,0,-0.469007690979,-18.6597242291,-0.468890375816,-18.9028684535,107.881888168,-30.391355471
342.400613797,0,0,-0.481457687965,-18.9012353273,-0.481337082716,-19.1477654808,107.86887992,-30.7962343622
347.168681893,0,0,-0.494219744029,-19.1453998296,-0.494095756423,-19.3953630646,107.855543952,-31.2060416226
352.00314728,0,0,-0.507300730608,-19.3922289566,-0.507173265788,-19.6456730823,107.841872952,-31.6208201527
356.904934568,0,0,-0.520707622577,-19.6417332645,-0.520576583024,-19.8987067558,107.827859495,-32.0406126298
361.874981241,0,0,-0.534447497363,-19.8939226166,-0.534312782822,-20.1544746236,107.813496038,-32.4654614855
366.91423784,0,0,-0.548527533916,-20.1488061544,-0.548389041324,-20.4129865117,107.798774925,-32.8954088831
372.023668141,0,0,-0.562955011528,-20.4063922684,-0.562812634929,-20.6742515048,107.783688385,-33.330496695
377.204249342,0,0,-0.577737308484,-20.6666885688,-0.577590938951,-20.9382779167,107.768228536,-33.7707664793
382.456972247,0,0,-0.592881900546,-20.9297018555,-0.592731426097,-21.2050732608,107.752387382,-34.2162594567
